make,model,price
Hyundai,Sonata,90533.35
Subaru,Brat,860519.32
Mazda,B-Series,589401.99
BMW,3 Series,456381.79
Mercedes-Benz,CL-Class,61574.02
Volvo,V50,508596.15
Toyota,MR2,720570.27
Acura,RDX,643089.12
Toyota,Previa,307535.61
Mercedes-Benz,SL-Class,561764.79
Dodge,Caravan,351391.20
Chevrolet,Express 1500,159775.97
Nissan,Xterra,25008.75
BMW,7 Series,880733.97
Buick,Estate,98920.84
Pontiac,Safari,568990.15
Kia,Forte,194571.92
Pontiac,Grand Prix,63501.32
Ford,Expedition,588084.28
Buick,Roadmaster,325158.10
Maserati,Quattroporte,61756.40
Ford,Bronco,529535.42
Lexus,LX,793355.64
Lexus,LX,688511.78
Mazda,RX-7,875802.38
Chevrolet,Cavalier,193276.41
Chevrolet,Corvette,761582.03
Buick,Century,750728.61
BMW,7 Series,685935.09
Hummer,H3,660376.39
Volvo,S40,661281.02
Suzuki,Swift,52219.93
Chevrolet,Blazer,448559.25
Nissan,Pathfinder,129338.31
Volvo,V40,38134.72
Lexus,LS Hybrid,846702.36
Porsche,Cayman,878845.91
Audi,100,90238.04
Dodge,Dakota,348667.38
Honda,Prelude,110132.22
Mitsubishi,Montero Sport,187266.77
Ford,Focus,639163.64
Ford,Mustang,17248.02
Toyota,4Runner,227492.79
Suzuki,Vitara,756405.08
Chevrolet,Tahoe,204459.92
Ford,Crown Victoria,762522.21
Aston Martin,V12 Vantage,306347.27
Mazda,Familia,438251.78
Isuzu,VehiCROSS,14941.28
Pontiac,Bonneville,619367.49
Nissan,Maxima,353865.63
Nissan,GT-R,394875.70
Scion,xA,620060.30
Lincoln,Blackwood,114015.56
Nissan,Maxima,527805.97
Mercedes-Benz,CL-Class,778103.78
Plymouth,Roadrunner,172101.22
Maserati,Biturbo,710698.43
Toyota,TundraMax,157334.12
Porsche,Cayman,165131.23
Ford,Escort,854315.58
Chevrolet,Corvette,305807.62
Dodge,Ram Van 1500,270134.73
Porsche,968,43606.11
Dodge,Avenger,681358.43
Maserati,Biturbo,793382.13
Chevrolet,Express 2500,538203.74
Dodge,Grand Caravan,563541.64
Chevrolet,Corvette,816017.78
Honda,Insight,805195.20
Lincoln,Navigator L,131107.24
Mitsubishi,Lancer Evolution,93676.80
Ford,Mustang,68034.11
Dodge,Caravan,242615.37
Ford,Escape,646304.03
Chevrolet,Avalanche 1500,114233.67
Mercedes-Benz,C-Class,556454.58
Volkswagen,GTI,34644.65
GMC,Yukon XL 1500,498821.01
Pontiac,Grand Prix,342686.90
Buick,Century,401842.36
Nissan,GT-R,124198.01
Ford,Crown Victoria,223020.32
Porsche,911,137462.92
Mazda,626,271841.68
Ford,Mustang,667197.25
Lamborghini,Murciélago,563287.31
Fillmore,Fillmore,821882.01
Ford,Courier,266274.36
Ford,Taurus,237053.23
Jaguar,XF,466812.88
Porsche,911,710662.95
Nissan,Sentra,852882.44
BMW,M Roadster,856990.91
Porsche,Boxster,39115.70
Pontiac,GTO,590539.79
Ford,GT,175501.01
Lexus,IS F,40593.60
Saturn,Outlook,627527.91
